DS,Size,Op,OpCount,Cache,Misses
SkipList,10000,Base,10000,Ir,739314354
SkipList,10000,Base,10000,I1mr,15244184
SkipList,10000,Base,10000,ILmr,49317
SkipList,10000,Base,10000,Dr,237640206
SkipList,10000,Base,10000,D1mr,7138239
SkipList,10000,Base,10000,DLmr,357471
SkipList,10000,Base,10000,Dw,138996469
SkipList,10000,Base,10000,D1mw,2635359
SkipList,10000,Base,10000,DLmw,481879
BadBisect,10000,Add,10000,Ir,556938679
BadBisect,10000,Add,10000,I1mr,11113237
BadBisect,10000,Add,10000,ILmr,48219
BadBisect,10000,Add,10000,Dr,179135376
BadBisect,10000,Add,10000,D1mr,5715285
BadBisect,10000,Add,10000,DLmr,355259
BadBisect,10000,Add,10000,Dw,107763019
BadBisect,10000,Add,10000,D1mw,1890460
BadBisect,10000,Add,10000,DLmw,452243
SortedList,10000,Add,10000,Ir,557322290
SortedList,10000,Add,10000,I1mr,11094702
SortedList,10000,Add,10000,ILmr,48252
SortedList,10000,Add,10000,Dr,179430285
SortedList,10000,Add,10000,D1mr,5729396
SortedList,10000,Add,10000,DLmr,355391
SortedList,10000,Add,10000,Dw,107863749
SortedList,10000,Add,10000,D1mw,1893493
SortedList,10000,Add,10000,DLmw,454468
SortedArray,10000,Add,10000,Ir,558110865
SortedArray,10000,Add,10000,I1mr,11130237
SortedArray,10000,Add,10000,ILmr,48307
SortedArray,10000,Add,10000,Dr,179550328
SortedArray,10000,Add,10000,D1mr,5776252
SortedArray,10000,Add,10000,DLmr,355191
SortedArray,10000,Add,10000,Dw,107901206
SortedArray,10000,Add,10000,D1mw,1883210
SortedArray,10000,Add,10000,DLmw,453861
AutoLoad,10000,Add,10000,Ir,556162228
AutoLoad,10000,Add,10000,I1mr,11390438
AutoLoad,10000,Add,10000,ILmr,48536
AutoLoad,10000,Add,10000,Dr,178573121
AutoLoad,10000,Add,10000,D1mr,5633087
AutoLoad,10000,Add,10000,DLmr,355499
AutoLoad,10000,Add,10000,Dw,105672363
AutoLoad,10000,Add,10000,D1mw,1903863
AutoLoad,10000,Add,10000,DLmw,455944
RBSTree,10000,Add,10000,Ir,1209848983
RBSTree,10000,Add,10000,I1mr,19720595
RBSTree,10000,Add,10000,ILmr,51683
RBSTree,10000,Add,10000,Dr,398958083
RBSTree,10000,Add,10000,D1mr,10984825
RBSTree,10000,Add,10000,DLmr,357899
RBSTree,10000,Add,10000,Dw,232196795
RBSTree,10000,Add,10000,D1mw,6215013
RBSTree,10000,Add,10000,DLmw,582099
SkipList,10000,Add,10000,Ir,1029121066
SkipList,10000,Add,10000,I1mr,19905344
SkipList,10000,Add,10000,ILmr,51030
SkipList,10000,Add,10000,Dr,330960027
SkipList,10000,Add,10000,D1mr,9507237
SkipList,10000,Add,10000,DLmr,358731
SkipList,10000,Add,10000,Dw,188607101
SkipList,10000,Add,10000,D1mw,3982995
SkipList,10000,Add,10000,DLmw,567469
BadBisect,100000,Base,100000,Ir,485872877
BadBisect,100000,Base,100000,I1mr,10154962
BadBisect,100000,Base,100000,ILmr,46379
BadBisect,100000,Base,100000,Dr,156294636
